web-scraper-order,web-scraper-start-url,names
"1748814827-61","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","LIVING LA COSTA"
"1748814827-62","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","PI PROPERTIES INVESTMENT"
"1748814827-63","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Keller Williams Marbella"
"1748814827-64","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Golden Mile Marbella Real Estate"
"1748814827-65","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Gilmar Estepona"
"1748814827-66","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Spain Property For You"
"1748814827-67","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","The Agency Marbella"
"1748814827-68","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Blackshaw Estates"
"1748814827-69","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","MPDunne & Hamptons International"
"1748814827-70","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Hábitat Mediterránea"
"1748814827-71","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Qh Agencia Inmobiliaria"
"1748814827-72","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Decoluxe Real Estate"
"1748814827-73","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Tribeca Living"
"1748814827-74","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","CENTURY 21 Turquesa"
"1748814827-75","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","HHomes"
"1748814827-76","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Zeuthen & Company"
"1748814827-77","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","CarlingPetri"
"1748814827-78","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Century 21 Gold"
"1748814827-79","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Bromley Estates Marbella"
"1748814827-80","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","MARLO PROPERTY"
"1748814827-81","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Winkworth Spain S.L."
"1748814827-82","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","grupo orangestate"
"1748814827-83","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Mila Homes SL"
"1748814827-84","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Your Marbella Property"
"1748814827-85","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Credit Home Banus Real Estate  & Finance"
"1748814827-86","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Your Dream Home Worldwide"
"1748814827-87","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","UNIKK HOME"
"1748814827-88","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Fortuny Hogares Únicos"
"1748814827-89","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","ARQ Desarrollos Inmobiliarios"
"1748814827-90","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Maisons de Rêve"
"1748814827-91","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","CASITASHOME"
"1748814827-92","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","LUXURY REALTY"
"1748814827-93","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Property Finder Marbella"
"1748814827-94","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","ImmoMoment"
"1748814827-95","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Sunshine-immo"
"1748814827-96","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Quantum Realty"
"1748814827-97","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","LAE HOMES - Marbella"
"1748814827-98","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Selection Med"
"1748814827-99","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Bahia Estates"
"1748814827-100","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Inmobiliaria González y Asociados"
"1748814827-101","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Elliott James SL"
"1748814827-102","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Cosmopolitan Benalmadena"
"1748814827-103","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Ed & Wall Estate"
"1748814827-104","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","SanPedro Grupo Inmobiliaria"
"1748814827-105","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","norma franck"
"1748814827-106","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Solvia Inmobiliaria Mijas Costa"
"1748814827-107","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Panspain Group"
"1748814827-108","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Terrena gestion inmobiliaria s.l."
"1748814827-109","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Berkshire Hathaway HomeServices Marbella"
"1748814827-110","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","M21 Marbella"
"1748814827-111","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","OnsaleHomes Real Estate S.l"
"1748814827-112","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Alamo Costa del Sol"
"1748814827-113","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","DreaMarbella.com"
"1748814827-114","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Roccabox Property Group S.L"
"1748814827-115","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Inmoluxgroup"
"1748814827-116","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Marco properties"
"1748814827-117","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","RE/MAX Sunset"
"1748814827-118","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Lucas Fox Estepona"
"1748814827-119","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Kaarsberg Estate"
"1748814827-120","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Costa Garant"
"1748814827-121","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Choose Marbella"
"1748814827-122","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Solocasa Real Estate"
"1748814827-123","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Kvant Real Estate"
"1748814827-124","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Right Casa Estates"
"1748814827-125","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Fastighetsbyran Marbella"
"1748814827-126","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Acqua Real Estate"
"1748814827-127","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Noa Luxury Properties"
"1748814827-128","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","MEDITERRANEAN PROPERTIES MARBELLA"
"1748814827-129","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Hasiera"
"1748814827-130","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Luxury Living Marbella"
"1748814827-131","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Mijasin"
"1748814827-132","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Casa Direct"
"1748814827-133","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Lina lopez"
"1748814827-134","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Bplan Brokers"
"1748814827-135","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Villagest Guadalmina"
"1748814827-136","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","iHOME Property"
"1748814827-137","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","HORIZON REALTY"
"1748814827-138","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","LIBEHOMES.com"
"1748814827-139","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","SkandiaMäklarna Costa del Sol"
"1748814827-140","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Love Marbella Estate"
"1748814827-141","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Ikeka.inmoben"
"1748814827-142","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Homes to Love"
"1748814827-143","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","YUNI'S PROPERTIES SL."
"1748814827-144","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Spanish Dream"
"1748814827-145","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Makai properties"
"1748814827-146","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Marbelland"
"1748814827-147","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Quorum Estates"
"1748814827-148","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Quierounpiso.com"
"1748814827-149","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Century21 blue"
"1748814827-150","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","MxM Group"
"1748814827-151","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","First Choice Spain Real Estate"
"1748814827-152","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Angela Schroeder Soluciones Inmobiliarias"
"1748814827-153","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Nordica"
"1748814827-154","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Marbella Unique Properties"
"1748814827-155","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Grupo Ibercosta"
"1748814827-156","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Mar Homes"
"1748814827-157","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","IDILIQ Estates"
"1748814827-158","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Marbella Estates SL."
"1748814827-159","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Advantage Real Estate and Investment"
"1748814827-160","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Nor Estates"
"1748814827-161","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Casa Consulting"
"1748814827-162","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Kuckrealestate"
"1748814827-163","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","HOLA! by Calahonda Estates"
"1748814827-164","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Prime Invest"
"1748814827-165","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","StartGroup Real Estate"
"1748814827-166","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","HUSMANHAGBERG COSTA DEL SOL"
"1748814827-167","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Sun Med Estates"
"1748814827-168","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Navarro Asesores Inmobiliaria"
"1748814827-169","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Best House Costa del Sol"
"1748814827-170","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Hacienda casa verde"
"1748814827-171","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","ViVe Malaga"
"1748814827-172","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","grupo inmobiliario guadalhorce"
"1748814827-173","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","SMH Costa del Sol"
"1748814827-174","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Homewatch Marbella"
"1748814827-175","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Buena Vida Spain"
"1748814827-176","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Lunde & Nieto Properties"
"1748814827-177","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","MUNDO INMOBILIARIO"
"1748814827-178","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Marbella Real Estate"
"1748814827-179","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Golden Sun House"
"1748814827-180","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","3SA ESTATE"
"1748814827-181","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","BELINDA ESTATES"
"1748814827-182","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","livingstone estates"
"1748814827-183","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","ipp spain"
"1748814827-184","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Status Homes"
"1748814827-185","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","BanusImmo®Marbella"
"1748814827-186","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Integral VIP Service"
"1748814827-187","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","Villas y Golf Marbella"
"1748814827-188","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","costa happy home"
"1748814827-189","https://www.idealista.com/agencias-inmobiliarias/malaga/costa-del-sol-occidental-area-de-marbella/inmobiliarias","INMOban"
